Rank | Name             | W - L | Lifeforce

1    | LOVELESS         | 6 - 0 | 30,655,909
2    | Donut            | 5 - 1 | 27,934,262
3    | Insomniacs       | 4 - 2 | 18,984,339
4    | Everlasting      | 4 - 2 | 17,982,196
5    | Dreamers         | 4 - 2 | 16,405,655
6    | Agony            | 4 - 2 | 15,925,331
7    | Arroz            | 4 - 2 | 15,541,022
8    | Gods             | 4 - 2 | 15,089,734
9    | Choten           | 3 - 3 | 14,970,213
10   | FullMoonCafe     | 3 - 3 | 14,066,267
11   | 99Moogles        | 4 - 2 | 14,043,238
12   | Yozora           | 4 - 2 | 13,855,272
13   | Quebec           | 3 - 3 | 13,833,631
14   | Lethaeus         | 5 - 1 | 13,641,477
15   | OuRHa            | 4 - 2 | 13,534,350
16   | Pokédex          | 3 - 3 | 12,402,939
17   | Elegy            | 4 - 2 | 11,808,143
18   | 9Realms          | 4 - 2 | 11,729,419
19   | OFFtopic         | 4 - 2 | 11,602,258
20   | WildHunt         | 4 - 2 | 11,587,138
21   | Xoriat           | 4 - 2 | 11,077,862
22   | Valiance         | 4 - 2 | 11,060,363
23   | Shade            | 3 - 3 | 10,976,246
24   | iGod             | 4 - 2 | 10,969,635
25   | Athenaeum        | 3 - 3 | 10,885,881
26   | Sino             | 4 - 2 | 10,729,381
27   | Wormhole         | 3 - 3 | 10,644,177
28   | S.H.             | 3 - 3 | 10,430,302
29   | Valhalla         | 3 - 3 | 10,422,065
30   | Arialis          | 3 - 3 | 10,228,417
31   | LuckyOrb         | 4 - 2 | 9,943,289
32   | TBC              | 2 - 4 | 9,605,800
33   | BlackRose        | 3 - 3 | 9,178,384
34   | Skögul           | 3 - 3 | 8,955,909
35   | CoolKids         | 4 - 2 | 8,717,268
36   | Novus            | 4 - 2 | 8,656,489
37   | Nyanpasu         | 4 - 2 | 8,598,953
38   | HachikujiMayoi   | 3 - 3 | 8,467,167
39   | Phase            | 3 - 3 | 8,466,858
40   | Pudding          | 3 - 3 | 8,389,320
41   | Crimson•Lynxes   | 5 - 1 | 8,275,449
42   | SUNSET.R         | 3 - 3 | 7,907,869
43   | Kupo             | 3 - 3 | 7,856,331
44   | Heim             | 3 - 3 | 7,730,074
45   | Rikone           | 2 - 4 | 7,582,708
46   | RagnaroK         | 3 - 3 | 7,569,478
47   | M&Mco.           | 3 - 3 | 7,437,615
48   | Procella         | 4 - 2 | 7,396,855
49   | Ephemera         | 3 - 3 | 7,342,883
50   | Arcarum          | 3 - 3 | 7,229,369
51   | Cococabra        | 3 - 3 | 7,220,012
52   | CrimsonButterfly | 3 - 3 | 7,152,610
53   | Wadjet           | 4 - 2 | 7,072,648
54   | ~Lumina~         | 3 - 3 | 6,722,203
55   | Phoenix          | 4 - 2 | 6,648,542
56   | [SPC]            | 3 - 3 | 6,360,861
57   | Myrmidon         | 4 - 2 | 6,349,846
58   | ✦SINoMelli✦     | 2 - 4 | 6,280,113
59   | ChilePog         | 3 - 3 | 6,188,273
60   | Marchen          | 3 - 3 | 6,166,607
61   | RedHand          | 3 - 3 | 6,152,212
62   | FGO              | 2 - 4 | 5,961,641
63   | Scindo           | 2 - 4 | 5,899,062
64   | Golden•Dawn      | 2 - 4 | 5,817,802
65   | Nazarick         | 2 - 4 | 5,749,952
66   | Tragedia         | 2 - 4 | 5,730,433
67   | Seikatsu         | 2 - 4 | 5,639,016
68   | Bouken           | 3 - 3 | 5,419,900
69   | BlueCrew         | 2 - 4 | 5,143,095
70   | Tamashii         | 3 - 3 | 5,122,480
71   | Schwarzwald      | 3 - 3 | 5,015,206
72   | MoonDreamer      | 3 - 3 | 4,992,773
73   | Chaotic♡         | 1 - 5 | 4,972,880
74   | Madness♤         | 2 - 4 | 4,968,274
75   | Newsong          | 3 - 3 | 4,861,338
76   | Amimir           | 3 - 3 | 4,613,478
77   | Error            | 3 - 3 | 4,303,281
78   | Anteiku          | 2 - 4 | 4,302,515
79   | NoLuck           | 2 - 4 | 4,245,886
80   | Camelot          | 3 - 3 | 3,651,005
81   | Alrun            | 2 - 4 | 3,612,053
82   | Granblue         | 2 - 4 | 3,571,381
83   | F2P              | 3 - 3 | 3,562,902
84   | Sparkles         | 2 - 4 | 3,468,722
85   | DarkStar         | 2 - 4 | 3,327,300
86   | Nyx              | 2 - 4 | 3,307,313
87   | TrollOalice      | 3 - 3 | 3,227,860
88   | Ositos           | 2 - 4 | 2,956,570
89   | ┬─┬ノ(͡°͜ʖ͡°ノ)     | 2 - 4 | 2,830,359
90   | EmilClones       | 2 - 4 | 2,422,079
91   | M.T.C.           | 2 - 4 | 2,305,959
92   | Type-0           | 2 - 4 | 2,206,163
93   | Stardust         | 1 - 5 | 1,996,311
94   | Honkai           | 1 - 5 | 1,721,618
95   | Kuuhaku          | 1 - 5 | 1,690,830
96   | Zero             | 0 - 6 | 247,025
97   | SaltyFish        | 0 - 6 | 51,923
