Day 6 | Day 5 | Name             | TS | W - L | Updated | Lifeforce

1     | 1     | CyberCrime       | 10  | 6 - 0 | Yes     | 33,480,287
2     | 2     | Peanut           | 5  | 6 - 0 | Yes     | 31,064,711
3     | 3     | Malchi           | 9  | 6 - 0 | Yes     | 31,048,815
4     | 4     | AstelliaJC       | 1  | 6 - 0 | Yes     | 29,452,025
5     | 5     | Flame            | 6  | 6 - 0 | Yes     | 28,943,521
6     | 6     | NANAISTHEBESTBOI | 10  | 5 - 1 | Yes     | 28,188,967
7     | 7     | GabiruCult       | 7  | 6 - 0 | Yes     | 28,035,064
8     | 8     | メロンパン            | 2  | 6 - 0 | Yes     | 26,906,817
9     | 10    | Cohesion         | 3  | 6 - 0 | Yes     | 26,560,371
10    | 11    | LOVELESS         | 6  | 5 - 1 | Yes     | 26,198,222
11    | 12    | LaffyRaffy       | 8  | 6 - 0 | Yes     | 25,827,614
12    | 14    | Boss             | 12  | 5 - 1 | Yes     | 25,739,154
13    | 9     | 404              | 4  | 6 - 0 | Yes     | 25,571,036
14    | 15    | UNDRGROUND       | 1  | 5 - 1 | Yes     | 25,278,458
15    | 13    | 오리너구리            | 12  | 6 - 0 | Yes     | 25,186,992
16    | 17    | ByIsaacsBeard    | 3  | 5 - 1 | Yes     | 23,004,082
17    | 20    | 2LS              | 11  | 6 - 0 | Yes     | 22,708,101
18    | 25    | Squids           | 5  | 5 - 1 | Yes     | 22,603,302
19    | 21    | AI               | 8  | 5 - 1 | Yes     | 22,482,668
20    | 26    | Roselia          | 4  | 5 - 1 | Yes     | 22,417,669
21    | 23    | Codex            | 5  | 5 - 1 | Yes     | 22,286,011
22    | 19    | Mocha            | 7  | 5 - 1 | Yes     | 22,239,898
23    | 18    | Reverie          | 8  | 4 - 2 | Yes     | 22,170,086
24    | 31    | Twelve           | 9  | 4 - 2 | Yes     | 22,073,116
25    | 29    | Rebel            | 11  | 5 - 1 | Yes     | 21,985,481
26    | 30    | 벚꽃               | 12  | 5 - 1 | Yes     | 21,984,238
27    | 24    | Angelis          | 9  | 5 - 1 | Yes     | 21,920,397
28    | 34    | 幼儿园              | 10  | 5 - 1 | Yes     | 21,770,764
29    | 35    | Secret_Garden    | 4  | 5 - 1 | Yes     | 20,720,626
30    | 16    | SINoALICE        | 13  | 5 - 1 | Yes     | 20,717,554
31    | 32    | uwu♡~            | 1  | 4 - 2 | Yes     | 20,638,746
32    | 37    | RawHotDog        | 8  | 5 - 1 | Yes     | 20,157,283
33    | 41    | Brotherhood      | 9  | 4 - 2 | Yes     | 20,055,063
34    | 45    | (주)월하미인          | 13  | 4 - 2 | Yes     | 20,032,919
35    | 27    | LawIsThicc       | 9  | 5 - 1 | Yes     | 19,998,097
36    | 33    | Caribe           | 8  | 4 - 2 | Yes     | 19,778,178
37    | 40    | Rebirth          | 9  | 4 - 2 | Yes     | 19,556,235
38    | 50    | Loaf             | 7  | 4 - 2 | Yes     | 19,343,819
39    | 38    | 설화               | 13  | 4 - 2 | Yes     | 19,213,290
40    | 44    | Agony            | 6  | 4 - 2 | Yes     | 19,210,764
41    | 47    | M&C              | 7  | 4 - 2 | Yes     | 19,206,783
42    | 53    | Almond           | 13  | 5 - 1 | Yes     | 19,074,024
43    | 22    | ♥♡YoЯHa♡♥        | 8  | 4 - 2 | Yes     | 18,760,628
44    | 65    | ☆Soulmate☆       | 11  | 5 - 1 | Yes     | 18,370,332
45    | 52    | Altair           | 10  | 5 - 1 | Yes     | 18,287,201
46    | 75    | Noxious          | 4  | 3 - 3 | Yes     | 18,254,691
47    | 28    | =)               | 7  | 3 - 3 | Yes     | 18,057,221
48    | 39    | Armada           | 8  | 3 - 3 | Yes     | 18,042,049
49    | 48    | Insomniacs       | 6  | 4 - 2 | Yes     | 17,813,480
50    | 54    | Scripted         | 11  | 4 - 2 | Yes     | 17,750,969
