Rank | Name             | W - L | Lifeforce

1    | Forget2Play      | 1 - 0 | 4,829,052
2    | Scripted         | 1 - 0 | 4,615,584
3    | 2LS              | 1 - 0 | 3,566,274
4    | ☆Soulmate☆       | 1 - 0 | 3,310,618
5    | 디시인사이드           | 1 - 0 | 3,225,447
6    | Malice           | 1 - 0 | 2,973,533
7    | 의미               | 1 - 0 | 2,896,946
8    | Defiance(｡･ω･｡)ﾉ | 1 - 0 | 2,866,285
9    | ꧁SnowSanctuary꧂  | 1 - 0 | 2,827,245
10   | Hololive         | 1 - 0 | 2,782,093
11   | Peerless         | 1 - 0 | 2,774,600
12   | Pendraig         | 1 - 0 | 2,705,496
13   | 코코는병아리           | 1 - 0 | 2,540,754
14   | Niflheim         | 1 - 0 | 2,514,793
15   | Lethargy         | 1 - 0 | 2,287,062
16   |                  | 1 - 0 | 2,268,540
17   | Lunatear         | 1 - 0 | 2,237,904
18   | Moonlit          | 1 - 0 | 2,231,833
19   | Ezerien          | 1 - 0 | 2,213,356
20   | CBTXNTR          | 1 - 0 | 2,209,697
21   | AXIS             | 1 - 0 | 2,096,784
22   | 휴식의정원            | 1 - 0 | 1,949,555
23   | 은하수의밤            | 1 - 0 | 1,921,583
24   | 4Fun             | 1 - 0 | 1,874,569
25   | Phantasmagoria   | 1 - 0 | 1,806,566
26   | HYDRA            | 1 - 0 | 1,697,501
27   | Memento          | 0 - 1 | 1,681,342
28   | Kaminari         | 1 - 0 | 1,648,792
29   | Reformed         | 1 - 0 | 1,588,187
30   | 【﻿ＢＬＩＮＫ】         | 0 - 1 | 1,572,378
31   | mEmE             | 0 - 1 | 1,563,503
32   | Rebel            | 0 - 1 | 1,561,033
33   | 시린이날             | 1 - 0 | 1,548,969
34   | Automata         | 1 - 0 | 1,542,121
35   | Pantheon         | 0 - 1 | 1,538,611
36   | PPNation         | 1 - 0 | 1,439,745
37   | 쌀롱               | 1 - 0 | 1,421,840
38   | CAHP             | 1 - 0 | 1,408,171
39   | Revenants        | 1 - 0 | 1,336,239
40   | 69Degrees        | 1 - 0 | 1,281,985
41   | Toast            | 1 - 0 | 1,261,588
42   | Ohanami          | 0 - 1 | 1,110,544
43   | EvilDoer         | 1 - 0 | 1,067,880
44   | Alchemia         | 0 - 1 | 1,027,260
45   | Vroom            | 0 - 1 | 1,023,111
46   | 밥심               | 1 - 0 | 1,017,754
47   | FuwaFuwa         | 0 - 1 | 976,463
48   | Rheita           | 0 - 1 | 748,627
49   | AVARITIA         | 0 - 1 | 723,434
50   | Paranoia         | 0 - 1 | 686,709
51   | Nameless         | 0 - 1 | 682,091
52   | Sınners          | 0 - 1 | 633,613
53   | TBD              | 1 - 0 | 549,416
54   | Anxiety          | 0 - 1 | 517,493
55   | Cthulhu          | 0 - 1 | 496,272
56   | ChurchOfTamagod  | 0 - 1 | 475,400
57   | Argonaut         | 0 - 1 | 473,461
58   | Luminalis        | 0 - 1 | 424,322
59   | Neo-Axiom        | 0 - 1 | 416,292
60   | GvZ              | 0 - 1 | 405,861
61   | Arcadia          | 0 - 1 | 380,191
62   | Avernus          | 0 - 1 | 361,081
63   | Valhalla         | 0 - 1 | 357,702
64   | Insomnia         | 0 - 1 | 315,843
65   | 블랙말랑카우           | 0 - 1 | 297,677
66   | Passione         | 0 - 1 | 291,559
67   | BulbGang         | 0 - 1 | 252,761
68   | SINoMAKE         | 0 - 1 | 127,873
69   | NobleGuard       | 0 - 1 | 113,565
70   | NOAH             | 0 - 1 | 91,889
71   | Reverie          | 0 - 1 | 83,137
72   | Dust             | 0 - 1 | 68,998
73   | KupoClub         | 0 - 1 | 32,258
74   | Gullible         | 0 - 1 | 17,345
75   | 얼음꽃              | 0 - 1 | 15,905
76   | 잔혹동화출판사          | 0 - 1 | 9,075
77   | 커피앤도넛            | 0 - 1 | 3,565
78   | 데덴네              | 0 - 1 | 0
