Rank | Name      | W - L | Lifeforce

1    | メロンパン     | 3 - 0 | 14,279,887
2    | Phantoms  | 2 - 1 | 7,174,374
3    | WeebLand  | 2 - 1 | 6,842,992
4    | YoRHa     | 3 - 0 | 6,764,381
5    | Chronos   | 2 - 1 | 6,029,442
6    | FutaGirls | 2 - 1 | 4,250,700
7    | FemBoys   | 2 - 1 | 4,008,820
8    | Fallen    | 2 - 1 | 3,714,008
9    | KooNest   | 1 - 2 | 3,285,708
10   | Mensis    | 2 - 1 | 3,042,947
11   | DaiDark   | 2 - 1 | 2,967,831
12   | Pulveris  | 2 - 1 | 2,942,572
13   | History   | 1 - 2 | 2,553,547
14   | Tiamat    | 2 - 1 | 2,429,984
15   | FInALICE  | 1 - 2 | 2,309,398
16   | Slackers  | 2 - 1 | 2,270,047
17   | Ambition  | 1 - 2 | 2,056,452
18   | F2P_Mini  | 1 - 2 | 1,660,348
19   | Penguin   | 1 - 2 | 1,598,609
20   | Eros      | 1 - 2 | 1,525,677
21   | ☆707☆     | 1 - 2 | 1,052,693
22   | tutelage  | 0 - 3 | 997,943
23   | SINOPOTO  | 0 - 3 | 596,207
24   | Adamas    | 0 - 3 | 170,009
25   | FuryCats  | 0 - 3 | 53,685
