Rank | Name            | W - L | Lifeforce

1    | Boss            | 5 - 1 | 25,739,154
2    | 오리너구리           | 6 - 0 | 25,186,992
3    | 벚꽃              | 5 - 1 | 21,984,238
4    | 뉴비              | 4 - 2 | 17,133,712
5    | 한국산흑우단          | 4 - 2 | 16,328,757
6    | 영원              | 4 - 2 | 14,988,186
7    | Roanapur        | 4 - 2 | 14,318,961
8    | Tempest         | 5 - 1 | 14,102,671
9    | 카레맛집            | 4 - 2 | 13,411,701
10   | Enigami         | 3 - 3 | 13,380,004
11   | 히사시부리           | 3 - 3 | 13,150,240
12   | 신오앨리스           | 5 - 1 | 12,806,889
13   | Genocide        | 3 - 3 | 12,624,771
14   | 냥냥킥             | 4 - 2 | 12,436,888
15   | Happy           | 3 - 3 | 12,325,339
16   | 잔향              | 3 - 3 | 12,038,814
17   | SunnyDay~       | 4 - 2 | 11,877,096
18   | HoloLive        | 4 - 2 | 11,738,611
19   | YssSG           | 4 - 2 | 11,692,740
20   | MoguMogu        | 4 - 2 | 11,437,670
21   | Freedom         | 4 - 2 | 11,389,782
22   | MilkGod         | 3 - 3 | 11,151,126
23   | RhodesID        | 4 - 2 | 10,994,917
24   | FABLES          | 4 - 2 | 10,868,008
25   | OwO             | 3 - 3 | 10,799,935
26   | Guardians       | 3 - 3 | 10,650,001
27   | 연린              | 3 - 3 | 10,510,561
28   | Drakengard      | 4 - 2 | 10,494,650
29   | Nutella         | 3 - 3 | 10,428,707
30   | •ForeverHome•   | 3 - 3 | 10,421,342
31   | Carriya         | 4 - 2 | 10,250,341
32   | KampungRealtra  | 3 - 3 | 9,774,438
33   | NoNamed         | 3 - 3 | 9,638,485
34   | pepega          | 3 - 3 | 9,588,148
35   | Exile           | 3 - 3 | 9,492,804
36   | 검은고양이           | 3 - 3 | 9,407,504
37   | 종합병원            | 3 - 3 | 9,001,497
38   | SinoSG          | 3 - 3 | 8,981,569
39   | Nightfall       | 3 - 3 | 8,955,527
40   | 아스트리아           | 3 - 3 | 8,843,734
41   | Applepie        | 4 - 2 | 8,549,407
42   | TamagoClub      | 4 - 2 | 8,321,870
43   | หิวข้าว         | 3 - 3 | 8,184,031
44   | Jokers          | 3 - 3 | 7,843,410
45   | Arcana          | 4 - 2 | 7,773,952
46   | Flandore        | 3 - 3 | 7,696,132
47   | 『MiSFiTS』       | 3 - 3 | 7,637,525
48   | AYAYA           | 4 - 2 | 7,621,102
49   | 모히또             | 3 - 3 | 7,382,641
50   | Rihla           | 3 - 3 | 7,320,440
51   | 은밀한침대밑          | 4 - 2 | 7,283,156
52   | KoNoKEKsuAL     | 4 - 2 | 7,264,725
53   | Foxhound        | 4 - 2 | 7,213,345
54   | CultOfLammy     | 3 - 3 | 6,842,029
55   | Arcadia         | 2 - 4 | 6,489,831
56   | 시붕유치원           | 3 - 3 | 6,486,915
57   | Exyclid         | 3 - 3 | 6,486,480
58   | Publisher       | 3 - 3 | 6,434,332
59   | Mantap          | 3 - 3 | 6,379,760
60   | Archana         | 2 - 4 | 6,352,918
61   | Longinus        | 3 - 3 | 6,329,600
62   | 펭귄로지스틱스         | 2 - 4 | 6,218,392
63   | Camelot         | 4 - 2 | 6,158,337
64   | UncleZack's     | 3 - 3 | 6,000,883
65   | Svadesha        | 3 - 3 | 5,886,982
66   | Trident         | 3 - 3 | 5,829,457
67   | NieR            | 3 - 3 | 5,675,449
68   | Rubies          | 2 - 4 | 5,482,681
69   | Elfrinia        | 2 - 4 | 5,393,145
70   | MassDestruction | 3 - 3 | 5,353,860
71   | Saikyou~        | 3 - 3 | 5,239,590
72   | Anon            | 3 - 3 | 5,095,597
73   | CatsEmpire      | 3 - 3 | 5,089,997
74   | Halucyon        | 2 - 4 | 5,041,597
75   | Fanelia         | 2 - 4 | 4,893,274
76   | Exodus          | 3 - 3 | 4,763,325
77   | Bananas!        | 2 - 4 | 4,616,291
78   | Elysian         | 2 - 4 | 4,519,599
79   | Hypnotic        | 3 - 3 | 4,519,581
80   | indémnis        | 2 - 4 | 4,513,175
81   | 천하태평            | 4 - 2 | 4,504,644
82   | BIBLIOTHEQUE    | 3 - 3 | 4,467,171
83   | 루인바르            | 2 - 4 | 4,334,005
84   | 셀레스티얼           | 3 - 3 | 3,892,210
85   | Try             | 2 - 4 | 3,849,653
86   | 火の味             | 3 - 3 | 3,735,621
87   | 쟤보단내가낫지         | 1 - 5 | 3,706,816
88   | 폭발은예술이다         | 3 - 3 | 3,677,837
89   | METANoIA        | 2 - 4 | 3,662,810
90   | Seiyuu          | 2 - 4 | 3,548,368
91   | SINoPuppets.Arc | 3 - 3 | 3,508,279
92   | ^^)人(^^         | 2 - 4 | 3,413,571
93   | Kutubuku        | 2 - 4 | 3,405,256
94   | Nacht           | 2 - 4 | 2,908,244
95   | NoTales         | 2 - 4 | 2,609,739
96   | SlowLife        | 2 - 4 | 2,538,200
97   | 탐욕의장            | 2 - 4 | 2,404,930
98   | DosaElis        | 2 - 4 | 2,167,941
99   | Agartha         | 2 - 4 | 2,106,209
100  | Casuals         | 1 - 5 | 2,103,926
101  | 컴파스             | 1 - 5 | 1,807,735
102  | Kugane          | 1 - 5 | 1,324,653
103  | Liddell         | 1 - 5 | 1,319,828
104  | 천상지유            | 0 - 6 | 116,724
