Rank | Name             | W - L | Lifeforce

1    | Peanut           | 1 - 0 | 5,321,917
2    | Squids           | 1 - 0 | 4,515,153
3    | Birbs            | 1 - 0 | 4,393,599
4    | Vesto            | 1 - 0 | 4,264,892
5    | Uncharted        | 1 - 0 | 3,678,125
6    | BeAsG0Ds         | 1 - 0 | 3,487,037
7    | YoRha            | 1 - 0 | 3,375,292
8    | Dabbers          | 1 - 0 | 3,264,105
9    | KARMA            | 1 - 0 | 3,223,208
10   | GranWing         | 1 - 0 | 3,158,006
11   | Mjødhall         | 1 - 0 | 3,149,961
12   | La_Secte         | 1 - 0 | 3,030,169
13   | [Blank]          | 1 - 0 | 3,024,119
14   | Weebs            | 1 - 0 | 2,923,440
15   | HaluaGoBrrr      | 1 - 0 | 2,909,403
16   | KokoDayo         | 1 - 0 | 2,865,679
17   | Kali             | 1 - 0 | 2,828,553
18   | EndofPariah      | 1 - 0 | 2,717,182
19   | Phantom          | 1 - 0 | 2,626,012
20   | Panda            | 1 - 0 | 2,616,578
21   | 7Sins            | 1 - 0 | 2,611,617
22   | GrimTale         | 1 - 0 | 2,579,330
23   | #Junkies         | 1 - 0 | 2,566,864
24   | Marigold         | 1 - 0 | 2,502,754
25   | Einherjar        | 1 - 0 | 2,488,198
26   | ProjectD         | 1 - 0 | 2,457,411
27   | Lycoris          | 1 - 0 | 2,438,941
28   | YoRHa~           | 1 - 0 | 2,410,514
29   | Fearless         | 1 - 0 | 2,401,362
30   | Blank            | 1 - 0 | 2,348,415
31   | Synchronicity    | 1 - 0 | 2,347,905
32   | FairyLaw         | 1 - 0 | 2,326,711
33   | Penumbra         | 1 - 0 | 2,213,453
34   | CatCafé          | 1 - 0 | 2,198,157
35   | Bookstore        | 1 - 0 | 2,176,615
36   | Tenshura         | 1 - 0 | 2,169,393
37   | TeamPetty        | 1 - 0 | 2,144,734
38   | Anasnas          | 1 - 0 | 2,102,898
39   | WildCard         | 1 - 0 | 2,093,621
