Rank | Name            | W - L | Lifeforce

1    | AstelliaJC      | 3 - 0 | 15,373,288
2    | Ogygia          | 3 - 0 | 10,192,194
3    | uwu♡~           | 2 - 1 | 9,694,627
4    | FTRAP           | 2 - 1 | 9,539,805
5    | UNDRGROUND      | 2 - 1 | 9,313,226
6    | ♤♡Palace♧♢      | 2 - 1 | 8,466,168
7    | Corosars        | 2 - 1 | 8,170,200
8    | Elkia           | 3 - 0 | 8,118,571
9    | 만사귀찮            | 2 - 1 | 8,001,472
10   | Chronicles      | 1 - 2 | 7,999,919
11   | Pain.           | 2 - 1 | 7,806,403
12   | Ichariba        | 2 - 1 | 7,804,210
13   | 福Lucky♡         | 3 - 0 | 7,044,644
14   | Pekoland        | 2 - 1 | 7,028,279
15   | BloodOath       | 2 - 1 | 6,874,173
16   | Aeternum        | 3 - 0 | 6,852,038
17   | 14vs1           | 2 - 1 | 6,742,547
18   | Memories        | 3 - 0 | 6,678,609
19   | Ecstasy         | 2 - 1 | 6,664,470
20   | 밤하늘             | 2 - 1 | 6,613,604
21   | MilkTea自        | 2 - 1 | 6,488,798
22   | Alice           | 2 - 1 | 6,396,233
23   | SomePP          | 2 - 1 | 5,885,165
24   | ♡DEBAUCHERY♥    | 2 - 1 | 5,810,639
25   | Homura炎         | 2 - 1 | 5,771,438
26   | Fatalis         | 2 - 1 | 5,561,213
27   | PiKACHeW        | 2 - 1 | 5,190,440
28   | Draconic        | 1 - 2 | 5,159,904
29   | HoneyBunny      | 1 - 2 | 5,068,712
30   | Pluggies        | 2 - 1 | 4,926,292
31   | Phets           | 2 - 1 | 4,893,803
32   | PhantomRoad     | 2 - 1 | 4,675,609
33   | Loliness        | 1 - 2 | 4,622,629
34   | Drzkade         | 1 - 2 | 4,532,439
35   | Virtuous        | 1 - 2 | 4,452,905
36   | Fairy           | 2 - 1 | 4,426,364
37   | Cronoire        | 2 - 1 | 4,398,767
38   | Plague          | 2 - 1 | 4,063,123
39   | Daydreamer      | 2 - 1 | 4,062,139
40   | Mahjong         | 2 - 1 | 4,028,714
41   | Dantalion       | 2 - 1 | 4,015,304
42   | S.E.E.S.        | 1 - 2 | 3,715,422
43   | 「XIII」          | 2 - 1 | 3,570,319
44   | Lunar           | 2 - 1 | 3,522,232
45   | Glory           | 1 - 2 | 3,453,542
46   | Kyushi          | 1 - 2 | 3,443,068
47   | Yorozuya        | 2 - 1 | 3,433,250
48   | Salt&RNG        | 1 - 2 | 3,306,773
49   | Bloodlust       | 2 - 1 | 3,298,802
50   | LWSR            | 1 - 2 | 3,226,064
51   | pepegang        | 1 - 2 | 3,098,963
52   | Teardrop        | 1 - 2 | 3,009,848
53   | |Solo|          | 1 - 2 | 2,991,206
54   | NieR            | 1 - 2 | 2,956,410
55   | FaE             | 1 - 2 | 2,883,710
56   | Indo.Nesia      | 1 - 2 | 2,868,459
57   | ϟNeverland      | 1 - 2 | 2,745,818
58   | RedRose         | 2 - 1 | 2,722,342
59   | ส้มป่อย         | 1 - 2 | 2,582,350
60   | soon™           | 2 - 1 | 2,580,973
61   | SHIRI           | 1 - 2 | 2,373,654
62   | NoppaiGG        | 1 - 2 | 2,310,605
63   | Mewtaku         | 1 - 2 | 2,306,498
64   | Shuuba~         | 1 - 2 | 2,215,517
65   | Rutledge        | 1 - 2 | 2,211,375
66   | Bleach          | 1 - 2 | 1,804,339
67   | Memoire         | 1 - 2 | 1,671,871
68   | 언더월드단           | 1 - 2 | 1,619,172
69   | Yomi            | 1 - 2 | 1,607,839
70   | EMILIA          | 1 - 2 | 1,534,842
71   | HOTLOADS        | 1 - 2 | 1,427,280
72   | Dragon          | 1 - 2 | 1,409,136
73   | Омут            | 1 - 2 | 1,295,721
74   | CelestialDemons | 1 - 2 | 1,252,718
75   | Narrators       | 1 - 2 | 1,238,898
76   | Adastra         | 1 - 2 | 843,594
77   | BLACKPAGE       | 0 - 3 | 708,420
78   | CrimsonFlames   | 0 - 3 | 562,720
79   | Arknight        | 0 - 3 | 523,601
80   | Illusive        | 0 - 3 | 248,353
81   | LoneWolf        | 0 - 3 | 111,059
82   | Penumbra        | 0 - 3 | 51,613
83   | Nuwbieez        | 0 - 3 | 13,552
