Rank  | Name             | TS | W - L | Lifeforce

1     | CyberCrime       | 10  | 5 - 0 | 26,833,442
2     | Peanut           | 5  | 5 - 0 | 25,513,199
3     | Malchi           | 9  | 5 - 0 | 25,377,307
4     | AstelliaJC       | 1  | 5 - 0 | 25,298,459
5     | Donut            | 6  | 5 - 0 | 23,469,913
6     | FishStayNightUBW | 10  | 4 - 1 | 23,388,173
7     | GabiruCult       | 7  | 5 - 0 | 23,126,165
8     | メロンパン            | 2  | 5 - 0 | 22,569,254
9     | 404              | 4  | 5 - 0 | 22,459,392
10    | Cohesion         | 3  | 5 - 0 | 22,263,462
11    | LOVELESS         | 6  | 4 - 1 | 21,383,024
12    | LaffyRaffy       | 8  | 5 - 0 | 21,338,525
13    | 오리너구리            | 12  | 5 - 0 | 20,849,291
14    | Boss             | 12  | 4 - 1 | 20,821,674
15    | UNDRGROUND       | 1  | 4 - 1 | 19,312,672
16    | SINoALICE        | 13  | 5 - 0 | 18,781,560
17    | EBabyBackRibs    | 3  | 4 - 1 | 18,699,873
18    | Reverie          | 8  | 3 - 2 | 18,396,955
19    | Mocha            | 7  | 4 - 1 | 18,382,369
20    | 2LS              | 11  | 5 - 0 | 18,191,894
21    | AI               | 8  | 4 - 1 | 18,030,050
22    | ♥♡YoЯHa♡♥        | 8  | 4 - 1 | 17,955,885
23    | Codex            | 5  | 4 - 1 | 17,953,971
24    | Angelis          | 9  | 4 - 1 | 17,928,285
25    | Squids           | 5  | 4 - 1 | 17,556,850
26    | Roselia          | 4  | 4 - 1 | 17,418,140
27    | LawIsThicc       | 9  | 4 - 1 | 17,361,769
28    | =)               | 7  | 3 - 2 | 17,240,688
29    | Rebel            | 11  | 4 - 1 | 17,065,088
30    | 벚꽃               | 12  | 4 - 1 | 16,993,159
31    | Twelve           | 9  | 3 - 2 | 16,952,558
32    | uwu♡~            | 1  | 3 - 2 | 16,897,454
33    | Caribe           | 8  | 3 - 2 | 16,680,112
34    | 幼儿园              | 10  | 4 - 1 | 16,544,267
35    | Secret_Garden    | 4  | 4 - 1 | 16,450,630
36    | SINoABBY         | 8  | 4 - 1 | 16,243,558
37    | RawHotDog        | 8  | 4 - 1 | 15,988,172
38    | 설화               | 13  | 3 - 2 | 15,894,630
39    | Armada           | 8  | 3 - 2 | 15,890,957
40    | Rebirth          | 9  | 3 - 2 | 15,852,149
41    | Brotherhood      | 9  | 3 - 2 | 15,785,997
42    | 즐거운우리집           | 13  | 4 - 1 | 15,665,169
43    | Realm            | 4  | 4 - 1 | 15,306,687
44    | Agony            | 6  | 3 - 2 | 15,276,642
45    | (주)월하미인          | 13  | 3 - 2 | 15,270,647
46    | FTRAP            | 1  | 3 - 2 | 15,110,971
47    | M&C              | 7  | 3 - 2 | 15,024,931
48    | Insomniacs       | 6  | 3 - 2 | 14,943,408
49    | 『MR』             | 9  | 4 - 1 | 14,914,348
50    | Loaf             | 7  | 3 - 2 | 14,905,429
51    | Tartarus         | 8  | 4 - 1 | 14,854,894
52    | Altair           | 10  | 4 - 1 | 14,830,864
53    | Almond           | 13  | 4 - 1 | 14,783,175
54    | Scripted         | 11  | 3 - 2 | 14,572,466
55    | FullMoonCafe     | 6  | 4 - 1 | 14,551,779
56    | Fantasy          | 8  | 4 - 1 | 14,514,290
57    | Quit4Prison      | 5  | 4 - 1 | 14,385,688
58    | Ogygia           | 1  | 4 - 1 | 14,347,696
59    | Encore           | 13  | 4 - 1 | 14,246,181
60    | MilkVoid         | 9  | 3 - 2 | 14,217,776
61    | Forget2Play      | 11  | 3 - 2 | 14,184,555
62    | Starry           | 10  | 4 - 1 | 14,114,352
63    | Abhorsen         | 7  | 4 - 1 | 14,100,586
64    | Toast            | 7  | 4 - 1 | 14,067,543
65    | ☆Soulmate☆       | 11  | 4 - 1 | 14,033,774
66    | Vesto            | 5  | 3 - 2 | 14,022,148
67    | FinalAct         | 10  | 4 - 1 | 13,926,217
68    | Astryx           | 8  | 3 - 2 | 13,772,226
69    | Weebs            | 5  | 4 - 1 | 13,739,601
70    | Salvation™       | 5  | 4 - 1 | 13,612,034
71    | Stardust         | 4  | 3 - 2 | 13,594,641
72    | Harmony          | 4  | 4 - 1 | 13,550,919
73    | Wu               | 9  | 3 - 2 | 13,472,141
74    | Solis            | 5  | 4 - 1 | 13,458,205
75    | Noxious          | 4  | 2 - 3 | 13,439,102
76    | Divine           | 9  | 4 - 1 | 13,404,261
77    | Pariah           | 4  | 3 - 2 | 13,386,645
78    | Revive           | 8  | 3 - 2 | 13,354,759
79    | Destiny          | 3  | 4 - 1 | 13,309,636
80    | Chronicles       | 1  | 2 - 3 | 13,307,081
81    | TheNut           | 8  | 3 - 2 | 13,275,871
82    | Nandos           | 1  | 3 - 2 | 13,225,613
83    | mnemonic         | 7  | 3 - 2 | 13,221,111
84    | Revive20SP       | 4  | 4 - 1 | 13,207,847
85    | Enigami          | 12  | 3 - 2 | 13,187,429
86    | 만사귀찮             | 1  | 4 - 1 | 13,184,070
87    | RuriBestWaifu    | 9  | 3 - 2 | 13,157,959
88    | ƔϵևՁɠɠ           | 13  | 4 - 1 | 13,147,902
89    | Cirque           | 9  | 3 - 2 | 13,088,202
90    | Nyaaa            | 9  | 3 - 2 | 13,079,142
91    | Elegy            | 10  | 3 - 2 | 13,068,498
92    | Roanapur         | 12  | 4 - 1 | 13,052,575
93    | Wall-Nut         | 9  | 4 - 1 | 13,032,620
94    | 문제아              | 13  | 3 - 2 | 13,026,540
95    | =(               | 7  | 3 - 2 | 13,021,948
96    | Hollow           | 10  | 3 - 2 | 12,994,889
97    | WeebLand         | 2  | 4 - 1 | 12,989,008
98    | YoRha            | 5  | 4 - 1 | 12,952,191
99    | Pekoland         | 1  | 3 - 2 | 12,914,113
100   | Chronos          | 2  | 4 - 1 | 12,902,466
101   | Aether           | 8  | 4 - 1 | 12,884,759
102   | WeLoveUAlice     | 7  | 4 - 1 | 12,877,892
103   | Maple            | 10  | 4 - 1 | 12,872,364
104   | Yozora           | 6  | 4 - 1 | 12,865,262
105   | Pokédex          | 6  | 3 - 2 | 12,833,676
106   | GranClowns       | 5  | 4 - 1 | 12,814,739
107   | 블랙소울             | 13  | 4 - 1 | 12,762,707
108   | Gods             | 7  | 3 - 2 | 12,635,661
109   | Darkness         | 7  | 4 - 1 | 12,577,334
110   | mEmE             | 11  | 3 - 2 | 12,564,537
111   | GrandSouls       | 10  | 4 - 1 | 12,559,717
112   | 마굿간              | 13  | 4 - 1 | 12,544,945
113   | 뉴비               | 12  | 3 - 2 | 12,528,425
114   | UmaruLand        | 8  | 3 - 2 | 12,516,717
115   | Dream            | 9  | 3 - 2 | 12,515,730
116   | 한국산흑우단           | 12  | 3 - 2 | 12,514,007
117   | Amaranth         | 4  | 4 - 1 | 12,490,038
118   | Genocide         | 12  | 3 - 2 | 12,487,198
119   | Everlasting      | 6  | 3 - 2 | 12,440,414
120   | Marigold         | 5  | 4 - 1 | 12,366,560
121   | UnitalRing       | 10  | 3 - 2 | 12,211,409
122   | Punny            | 7  | 4 - 1 | 12,207,383
123   | CaSINo           | 3  | 3 - 2 | 12,167,972
124   | JustUsFrogsAgain | 4  | 3 - 2 | 12,155,038
125   | Stellar          | 13  | 4 - 1 | 12,127,429
126   | Corosars         | 1  | 3 - 2 | 12,103,977
127   | Malice           | 7  | 3 - 2 | 12,068,648
128   | Test             | 4  | 4 - 1 | 12,052,348
129   | SinoLewd         | 10  | 3 - 2 | 12,028,554
130   | Kali             | 5  | 4 - 1 | 12,012,207
131   | Phantagasm       | 10  | 3 - 2 | 11,999,052
132   | Another          | 8  | 3 - 2 | 11,983,218
133   | Birbs            | 5  | 3 - 2 | 11,977,976
134   | Choten           | 6  | 3 - 2 | 11,974,882
135   | Reunion          | 4  | 3 - 2 | 11,971,922
136   | VeXille          | 4  | 3 - 2 | 11,925,929
137   | Typhon           | 9  | 3 - 2 | 11,911,745
138   | ♤♡Palace♧♢       | 1  | 3 - 2 | 11,900,978
139   | SANCTUM          | 5  | 3 - 2 | 11,900,747
140   | Oblivion         | 5  | 3 - 2 | 11,898,756
141   | Kyobo            | 4  | 3 - 2 | 11,897,036
142   | [_]              | 3  | 3 - 2 | 11,891,325
143   | Arroz            | 6  | 3 - 2 | 11,884,995
