Rank | Name             | W - L | Lifeforce

1    | CyberCrime       | 5 - 0 | 26,833,442
2    | FishStayNightUBW | 4 - 1 | 23,388,173
3    | 幼儿园              | 4 - 1 | 16,544,267
4    | Hollow           | 3 - 2 | 12,994,889
5    | Phantagasm       | 3 - 2 | 11,999,052
6    | SleepingAngels   | 4 - 1 | 11,801,097
7    | Liquid           | 3 - 2 | 11,418,106
8    | Altair           | 4 - 1 | 14,830,864
9    | Avarice          | 3 - 2 | 11,509,941
10   | FinalAct         | 4 - 1 | 13,926,217
11   | Starry           | 4 - 1 | 14,114,352
12   | Squids           | 3 - 2 | 10,026,675
13   | PhantomTroupe    | 3 - 2 | 9,883,661
14   | Schwert          | 3 - 2 | 9,909,905
15   | Elegy            | 3 - 2 | 13,068,498
16   | GrandSouls       | 4 - 1 | 12,559,717
17   | Reroll-Yubi      | 3 - 2 | 9,239,378
18   | SinoLewd         | 3 - 2 | 12,028,554
19   | Maple            | 4 - 1 | 12,872,364
20   | Nyantropy        | 3 - 2 | 8,941,752
21   | DârkSîn          | 3 - 2 | 9,021,991
22   | UnitalRing       | 3 - 2 | 12,211,409
23   | Eorzeans         | 2 - 3 | 8,804,702
24   | Lost_Cause       | 4 - 1 | 11,562,440
25   | Ragnarokr        | 2 - 3 | 9,202,137
26   | Bananas          | 3 - 2 | 10,449,516
27   | ♥TiredTaxpayers♥ | 3 - 2 | 11,628,911
28   | Jelly            | 3 - 2 | 8,030,818
29   | Fables           | 4 - 1 | 10,629,795
30   | Pleiades         | 2 - 3 | 8,415,996
31   | Elysium          | 2 - 3 | 7,907,128
32   | EatPant2         | 4 - 1 | 11,353,244
33   | PHAEDRA          | 3 - 2 | 10,573,703
34   | OnceUpon         | 2 - 3 | 8,475,268
35   | Veritas          | 2 - 3 | 7,421,308
36   | Chaos            | 3 - 2 | 10,987,475
37   | Necronomicon     | 2 - 3 | 7,392,007
38   | Cthuwu           | 3 - 2 | 10,415,020
39   | StateFarm        | 2 - 3 | 7,565,056
40   | Sleepless        | 3 - 2 | 10,325,491
41   | µ's              | 3 - 2 | 9,234,323
42   | eggheads         | 2 - 3 | 6,638,134
43   | Bullied          | 2 - 3 | 7,917,010
44   | GrimHope         | 3 - 2 | 8,374,131
45   | Arrogance        | 4 - 1 | 8,434,582
46   | Oblivion         | 3 - 2 | 6,955,559
47   | CrazyPooh        | 3 - 2 | 6,284,294
48   | Refuwugees       | 3 - 2 | 9,346,998
49   | Eunoia           | 2 - 3 | 6,040,832
50   | bbt              | 3 - 2 | 8,984,071
51   | StateFarm        | 2 - 3 | 7,565,056
52   | CIIC             | 2 - 3 | 7,538,085
53   | WitchesTheater   | 3 - 2 | 7,435,283
54   | Veritas          | 2 - 3 | 7,421,308
55   | Necronomicon     | 2 - 3 | 7,392,007
56   | Swordboy         | 3 - 2 | 7,328,543
57   | Apricity         | 3 - 2 | 7,227,905
58   | Atellux          | 3 - 2 | 7,196,702
59   | Avalon           | 2 - 3 | 7,160,159
60   | Oblivion         | 3 - 2 | 6,955,559
61   | D.InVivo         | 2 - 3 | 6,916,903
