Rank | Name      | W - L | Lifeforce

1    | メロンパン     | 6 - 0 | 26,906,817
2    | Chronos   | 5 - 1 | 16,283,617
3    | Phantoms  | 4 - 2 | 14,403,682
4    | WeebLand  | 4 - 2 | 13,557,859
5    | KooNest   | 3 - 3 | 8,821,741
6    | FutaGirls | 4 - 2 | 8,577,500
7    | FemBoys   | 3 - 3 | 7,421,003
8    | YoRHa     | 3 - 3 | 7,414,436
9    | History   | 3 - 3 | 6,912,339
10   | Pulveris  | 4 - 2 | 6,502,503
11   | Fallen    | 3 - 3 | 6,190,135
12   | tutelage  | 3 - 3 | 6,045,569
13   | Ambition  | 3 - 3 | 5,406,031
14   | FInALICE  | 2 - 4 | 5,003,049
15   | DaiDark   | 3 - 3 | 4,918,838
16   | Mensis    | 3 - 3 | 4,865,180
17   | Penguin   | 3 - 3 | 4,252,514
18   | SINOPOTO  | 3 - 3 | 4,224,897
19   | Slackers  | 3 - 3 | 3,516,263
20   | F2P_Mini  | 2 - 4 | 3,269,749
21   | Eros      | 2 - 4 | 2,935,041
22   | Tiamat    | 2 - 4 | 2,604,537
23   | ☆707☆     | 2 - 4 | 2,300,780
24   | Adamas    | 0 - 6 | 341,051
25   | FuryCats  | 0 - 6 | 79,958
